archivo_excel,stem_excel,label_excel,ruta_origen,ruta_destino,accion,nota
ackley_5.bch,ackley_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ackley_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ackley_5.bch,copied,
chance.bch,chance,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/chance.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/chance.bch,copied,
ex14_1_1.bch,ex14_1_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_1.bch,copied,
ex14_1_2.bch,ex14_1_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_2.bch,copied,
ex14_1_3.bch,ex14_1_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_3.bch,copied,
ex14_1_4.bch,ex14_1_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_4.bch,copied,
ex14_1_5.bch,ex14_1_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_5.bch,copied,
ex14_1_8.bch,ex14_1_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_8.bch,copied,
ex14_1_9.bch,ex14_1_9,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_1_9.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_1_9.bch,copied,
ex14_2_1.bch,ex14_2_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_1.bch,copied,
ex14_2_2.bch,ex14_2_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_2.bch,copied,
ex14_2_4.bch,ex14_2_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_4.bch,copied,
ex14_2_5.bch,ex14_2_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_5.bch,copied,
ex14_2_6.bch,ex14_2_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_6.bch,copied,
ex14_2_8.bch,ex14_2_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_8.bch,copied,
ex14_2_9.bch,ex14_2_9,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex14_2_9.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_9.bch,copied,
ex2_1_10.bch,ex2_1_10,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_10.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_10.bch,copied,
ex2_1_1.bch,ex2_1_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_1.bch,copied,
ex2_1_2.bch,ex2_1_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_2.bch,copied,
ex2_1_3.bch,ex2_1_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_3.bch,copied,
ex2_1_4.bch,ex2_1_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_4.bch,copied,
ex2_1_5.bch,ex2_1_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_5.bch,copied,
ex2_1_5bis.bch,ex2_1_5bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_5bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_5bis.bch,copied,
ex2_1_6.bch,ex2_1_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex2_1_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_6.bch,copied,
ex3_1_1.bch,ex3_1_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex3_1_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex3_1_1.bch,copied,
ex3_1_2.bch,ex3_1_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex3_1_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex3_1_2.bch,copied,
ex3_1_3.bch,ex3_1_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex3_1_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex3_1_3.bch,copied,
ex3_1_3bis.bch,ex3_1_3bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex3_1_3bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex3_1_3bis.bch,copied,
ex3_1_4.bch,ex3_1_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex3_1_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex3_1_4.bch,copied,
ex4_1_5.bch,ex4_1_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex4_1_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex4_1_5.bch,copied,
ex4_1_8.bch,ex4_1_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex4_1_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex4_1_8.bch,copied,
ex4_1_9.bch,ex4_1_9,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex4_1_9.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex4_1_9.bch,copied,
ex5_2_2_case1.bch,ex5_2_2_case1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex5_2_2_case1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_2_2_case1.bch,copied,
ex5_2_2_case2.bch,ex5_2_2_case2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex5_2_2_case2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_2_2_case2.bch,copied,
ex5_2_4.bch,ex5_2_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex5_2_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_2_4.bch,copied,
ex5_4_2.bch,ex5_4_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex5_4_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_4_2.bch,copied,
ex5_4_2bis.bch,ex5_4_2bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex5_4_2bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_4_2bis.bch,copied,
ex5_4_3.bch,ex5_4_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex5_4_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_4_3.bch,copied,
ex6_1_2.bch,ex6_1_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex6_1_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_1_2.bch,copied,
ex7_2_10.bch,ex7_2_10,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_10.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_10.bch,copied,
ex7_2_1.bch,ex7_2_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_1.bch,copied,
ex7_2_1bis.bch,ex7_2_1bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_1bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_1bis.bch,copied,
ex7_2_2.bch,ex7_2_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_2.bch,copied,
ex7_2_3.bch,ex7_2_3,medium,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_3.bch,/home/vale/Escritorio/Clasificacion kmeans/medium/ex7_2_3.bch,copied,
ex7_2_3bis.bch,ex7_2_3bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_3bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_3bis.bch,copied,
ex7_2_5.bch,ex7_2_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_5.bch,copied,
ex7_2_6.bch,ex7_2_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_6.bch,copied,
ex7_2_7.bch,ex7_2_7,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_2_7.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_2_7.bch,copied,
ex7_3_1.bch,ex7_3_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_3_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_1.bch,copied,
ex7_3_2.bch,ex7_3_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_3_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_2.bch,copied,
ex7_3_3.bch,ex7_3_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_3_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_3.bch,copied,
ex7_3_6.bch,ex7_3_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex7_3_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_6.bch,copied,
ex8_1_1.bch,ex8_1_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_1.bch,copied,
ex8_1_2.bch,ex8_1_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_2.bch,copied,
ex8_1_4.bch,ex8_1_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_4.bch,copied,
ex8_1_5.bch,ex8_1_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_5.bch,copied,
ex8_1_6.bch,ex8_1_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_6.bch,copied,
ex8_1_6bis.bch,ex8_1_6bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_6bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_6bis.bch,copied,
ex8_1_7.bch,ex8_1_7,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_7.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_7.bch,copied,
ex8_1_8.bch,ex8_1_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_8.bch,copied,
ex8_1_8bis.bch,ex8_1_8bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_1_8bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_1_8bis.bch,copied,
ex8_4inf-1.bch,ex8_4inf-1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_4inf-1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_4inf-1.bch,copied,
ex8_5_3-1.bch,ex8_5_3-1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_5_3-1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_5_3-1.bch,copied,
ex8_5_3.bch,ex8_5_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_5_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_5_3.bch,copied,
ex8_5_4.bch,ex8_5_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_5_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_5_4.bch,copied,
ex8_5_5-1.bch,ex8_5_5-1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_5_5-1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_5_5-1.bch,copied,
ex8_5_5.bch,ex8_5_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_5_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_5_5.bch,copied,
ex8_5_6-1.bch,ex8_5_6-1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex8_5_6-1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_5_6-1.bch,copied,
ex9_1_10.bch,ex9_1_10,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_1_10.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_1_10.bch,copied,
ex9_1_1.bch,ex9_1_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_1_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_1_1.bch,copied,
ex9_1_2.bch,ex9_1_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_1_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_1_2.bch,copied,
